구분,음식명,영문,음식설명
한과,수삼정과,Candied Fresh Ginseng,Pieces of ginseng simmered in sugar water then candied with sweet syrup or honey.
곡류,수수,Millet,
떡,수수경단,Millet Balls,"Millet flour cakes formed into balls, cooked in water, then rolled in ground red beans or beans. Also called susu-pattteok."
떡,수수부꾸미,Millet Pancake,"Pan-fried, half-moon shaped millet cakes with red bean filling. Also called chalsusu-jijim."
편육,수육,Boiled Beef Slices,"Pieces of beef cooked in boiling water, then cut into thin slices and served hot."
음청류,수정과,Cinnamon Punch with Dried Persimmon,"A sweet punch is made of ginger, cinnamon sticks and sugar simmered together in water. Dried persimmons are added after cooling and the punch is served with a few pine nuts floating on top. One of Korea's most popular dessert drinks."
수제비,수제비,Sujebi Soup,"A soup with summer squash, other vegetables, and small dumplings. The dumplings are made of flour dough that is hand broken into little pieces and dropped into the hot soup right before serving."
한과,숙실과,Glazed Fruits and Nuts,"Fruits and nuts, especially chestnuts, jujubes (Korean dates), and ginger, that have been simmered in honey, sweet syrup and sugar until glazed."
나물,숙주나물,Mung Bean Sprout Namul,A side dish of mung bean sprouts blanched in salt water and seasoned.
순대,순대,Korean-style Blood Sausage,"A sausage of pork blood, vegetables, and rice or noodles."
"국,탕",순댓국,Blood Sausage Soup,A soup made of cabbage and sliced blood sausage in an ox bone broth.
두류,순두부,Soft Dubu,Soft dubu (soybean curd / tofu) before thickeners are added to harden the curd to its usual texture.
찌개,순두부찌개,Spicy Soft Dubu Stew,"A spicy red stew with soft dubu (soybean curd / tofu), soybean paste (doenjang), fish sauce, clams, summer squash, and some meat."
김치,순무김치,Turnip Kimchi,A kimchi made of turnips (smaller than the usual white radish used in Korea). This is a specialty of the Ganghwado region.
음청류,숭늉,Browned Rice Tea,A tea made of the browned rice from the bottom of the rice pot. Water is poured into the pot and boiled until the slightly burnt rice on the bottom softens and mixes with the water. This popular drink is served hot after meals.
구이,숯불갈비,Charcoal Barbecued Beef Short Ribs,Beef short ribs grilled at the table over charcoal. The meat can be served in two ways: Marinated ribs are called yangnyeom (seasoned) galbi and plain ribs without seasoning are called saenggalbi.
채소류,시금치,Spinach,
"국,탕",시금칫국,Spinach Soup,A soup made with spinach in beef or clam broth.
채소류,시래기,Dried Radish Leaves,"Leaves of white radish or Chinese cabbage that have been dried to preserve them through the winter and used later in soups, stews or seasoned side dishes."
숙채,시래기나물,Cooked Dried Radish Leaf Namul,"Dried radish or Chinese cabbage leaves that have been cooked in water, seasoned, and sauteed lightly in oil. Ground dried anchovies or sesames are some of the unique seasonings used to flavor this dish."
찌개,시래기찌개,Dried Radish Leaf Stew,A stew of dried radish or Chinese cabbage leaves that have been boiled in water and added to a soybean paste (doenjang) broth.
"국,탕",시래깃국,Dried Radish Leaf Soup,A soup of dried radish leaves or Chinese cabbage leaves that have been cooked in water and added to a thick soybean paste broth.
떡,시루떡,Layered Rice Cake,"A rice cake made with white rice flour, layered with red bean filling and steamed."
양념,식초,Vinegar,
음청류,식혜,Rice Punch,"A traditional sweet dessert drink made of malt and rice. When served, there are often rice grains floating on top. Also called dansul."
전골,신선로,Royal Hot Pot,"A hot pot of seafood, fine meats and vegetables in broth cooked at the table in a brass pot that is kept warm by a small charcoal fire underneath. Traditionally served at the royal court."
버섯류,싸리버섯,Ssari Mushroom ,Coral mushroom. The caps are said to taste like chicken and the stems like abalone.
쌈,쌈,Vegetable Leaf Wraps,"A method of wrapping spoonfuls of cooked rice, grilled meat, or raw fish in various leafy vegetables, such as lettuce, crown daisy, sesame leaves, kelp (seaweed), and cooked pumpkin leaves."
쌈,쌈밥,Rice with Vegetable Leaf Wraps,"A dish with rice accompanied by various leafy vegetables, cooked or fresh, such as lettuce, crown daisy, steamed pumpkin leaves, sesame leaves, and kale."
음청류,쌍화차,Ssangwhacha (Medicinal Tea) ,A health tea made with medicinal herbs and brewed for a long period. Such teas are generally taken as a cold remedy.
"국,탕",쏘가리매운탕,Spicy Mandarin Fish Stew ,"A spicy stew made of mandarin fish, white radish, green chili peppers, crown daisy, green onions, and garlic in a broth seasoned with red chili pepper powder or red chili pepper paste."
채소류,쑥,Mugwort ,
채소류,쑥갓,Crown Daisy ,"A herbal leaf vegetable with a relatively strong scent which is used by itself, cooked and seasoned as a side dish, or added to fish soups and other stews. lt is also often used for rice wraps."
떡,쑥경단,Sweet Rice Balls with Mugwort,"Small rice cake balls made of glutinous rice flour and mugwort, a green vegetable with a distinctive aroma. These rice cakes are rolled in ground red beans."
"국,탕",쑥국,Mugwort Soup ,A soup made of mugwort in a beef or dried anchovy broth with soybean paste (doenjang). The mugwort is often tossed in some soybean flour to bring out its flavor before it is added to the soup.
면,쑥국수,Mugwort Noodles ,Noodles made of wheat flour and ground mugwort to give them a distinctive flavor and green color.
떡,쑥떡,Mugwort Rice Cake ,"Dark green rice cakes made of rice flour and mugwort. Mugwort can also be added to buckwheat, barley or sweet potato starch to make similar cakes."
채소류,씀바귀,Wild Lettuce ,"A wild leafy green with edible roots and long, thin leaves that are slightly bitter. This is most commonly harvested from the mountains in the spring."
나물/생채,씀바귀나물,Wild Lettuce Namul ,"A side dish made of wild lettuce which has been first soaked in salt water to remove its bitterness, then is seasoned with soy sauce, red chili pepper paste, roasted sesame seeds, green anions and garlic."
어류,아귀,Angler Fish(Monkfish) ,
찜,아귀찜,Spicy Angler Fish with Soybean Sprouts,"Angler fish simmered with soybean sprouts, minari (Korean parsley), and a seasoning of green onion, chili peppers, soy sauce, garlic and sugar."
"국,탕",아귀탕,Angler Fish Stew ,A stew of angler fish in a soybean paste (doenjang) broth with dried anchovies.
"국,탕",아욱국,Mallow Soup with Soybean Paste ,"A soup of mallow (a thick, dark leafy green that has to be cleaned thoroughly to soften it before cooking) in a soybean paste (doenjang) broth. Sometimes the soup is thickened with red chili pepper paste or flavored with dried shrimps."
증류주,안동소주,Andong Soju ,A rice liquor that is distilled several times in the distiller used to make soju. The unique method of making this liquor originated in the city of Andong.
찜,안동찜닭,Andong Braised Chicken,"Originally from the Andong region, this dish consists of chicken, chili peppers, potatoes, clear noodles, leeks and carrots braised in a spicy sauce of garlic, sweet syrup and soy sauce."
마른찬,안주,Dishes for Drinks,"ln Korea, ail alcoholic drinks are served with dry snacks or side dishes. The dry snacks include dried fish or meat similar to beef jerky, nuts, and dried fruits. The most common side dishes are pancakes (usually with green onions or seafood in them), other pan-fried delicacies, and different kinds of soup dishes."
"국,탕",알탕,Spicy Fish Roe Stew ,"A stew with pollack, cod or sea bream roe, spiced with red chili pepper powder, garlic, ginger and green onions. Altang can also refer to a pickled spicy pollack roe stew."
찜,애저찜,Stuffed Piglet ,"A two-month old piglet stuffed with sticky rice, chestnuts, jujubes (Korean dates), garlic, green onions, ginger, and walnuts and simmered for a long time."
한과,약과,Deep-fried Honey Cookies,"Deep-fried cookies made from a dough of wheat flour, sesame oil, soju, and honey. The cookies are pressed in a wood mold into round or flower shapes, then deep-fried and dipped in honey."
떡,약밥,Sweet Rice with Nuts and Jujubes,"Steamed sticky rice made with chestnuts, jujubes (Korean dates), honey, pine nuts and cinnamon. This dish is a sweet snack similar to rice cake."
청주,약주,Clear Rice Wine (1) ,"A rice wine made from steamed rice that has gone through several fermentation stages. lngredients in traditional medicine are also added, giving this liquor its literal name of ""medicinal wine"" (yak means medicine)."
"국,탕",양곰탕,Beef Tripe Soup ,"A soup made of beef tripe simmered for a long period with ginger, garlic, green onions and other ingredients. This soup is said to be an aphrodisiac."
구이,양곱창구이,Grilled Beef Tripe and Intestines ,Beef tripe and intestines mixed in a spicy sauce and grilled. The black outside layer of the tripe is discarded and only the white inside is used. Sometimes the tripe is grilled plain and served with a sauce for dipping.
양념,양념간장,Seasoned Soy Sauce ,"A variation of soy sauce for the table or cooking. This mixture is made by adding green onions, garlic, sesame seeds, sesame oil, and black pepper or red chili pepper powder to soy sauce."
젓갈,양념게장,Spicy Seasoned Crab ,Crabs marinated in a spicy sauce with a large amount of red chili pepper powder.
편육,양무침,Beef Tripe with Spicy Sauce ,"Cooked beef tripe mixed with a spicy mixture of soy sauce, red chili pepper powder, green onions, garlic, sugar, sesame oil and sesame salt."
버섯류,양송이,Button Mushroom ,
"국,탕",양즙탕,Chopped Beef Tripe Soup ,A soup made from finely chopped beef tripe that is simmered for a long time to produce a milky broth. This soup is very nutritious and is often prepared for the sick and elderly.
"국,탕",어글탕,Pollack and Beef Soup,"A soup with patties made of minced beef, dubu (soybean curd "
젓갈,어리굴젓,Pickled Oyster ,"Fresh oysters pickled in salt, red chili pepper powder, and crushed garlic."
만두,어만두,Fish Fillet Dumplings,"Thin fish fillets folded like dumplings, stuffed with minced and seasoned beef, and steamed."
면,어복쟁반,Boiled Meat Platter ,Slices of cooked beef and some beef broth served in a shallow brass dish. Noodles can also be added. This dish is a traditional specialty of the Pyeongan-do region in North Korea.
선,어선,"Steamed Fish Fillet, Beef and Vegetable Mix","Thin fish fillets stuffed with beef, shiitake mushrooms, cucumbers and carrots, then coated in starch and steamed."
채소류,연근,Lotus Roots ,"Lotus roots are pan-fried, made into porridge, and also dipped in honey to make sweets."
"전,적,튀김",연근전,Pan-fried Lotus Roots ,"Lotus roots sliced into flat, round pieces, coated in a flour and egg batter, and pan-fried."
한과,연근정과,Candied Lotus Roots ,"Round slices of lotus root, simmered in sugar water until candied."
조림,연근조림,Glazed Lotus Roots ,"Round slices of lotus root simmered in soy sauce, sugar and rice wine until glazed. Garnished with sesame seeds."
어류,연어,Salmon ,
채소류,열무,Young Summer Radish,
김치,열무김치,Young Summer Radish Kimchi,A kimchi made of young summer radish (smaller roots with larger leaves). This kimchi has a lot of water and is lightly seasoned.
면,열무냉면,Chilled Buckwheat Noodles with Radish Kimchi,Buckwheat noodles served in a chilled broth with chopped radish kimchi.
구이,염통구이,Grilled Ox Heart ,Thin slices of ox heart seasoned with salt and spices and grilled.
한과,엿,Malt Candy,"A sweet, sticky candy made of hardened maltose syrup and sweet glutinous rice. This candy has the texture of toffee."
한과,엿강정,Malt Toffee ,"Traditional sweet treats made of nuts or cereals, such as peas, beans, pine nuts, peanuts and sesame seeds, mixed with warm maltose syrup and left to harden."
"국,탕",영계백숙,Young Chicken and Ginseng Soup,"A soup made of a whole young chicken stuffed with ginseng, sweet rice, jujubes (Korean dates) and other ingredients. The stuffed chicken is simmered until tender."
밥,오곡밥,Five Grain Rice ,"A mixed rice with corn, red beans, beans, white rice, glutinous rice, and glutinous millet. Traditionally, this is the rice served on the first full moon of the lunar calendar."
"국,탕",오골계탕,Stuffed Ogol Chicken Soup,"A soup made of a whole ogol chicken (a chicken with dark meat and bones) stuffed with garlic, glutinous rice, jujubes (Korean dates), chestnuts, and other ingredients and simmered until tender. This soup is considered a delicacy due ta its health effects."
육류,오리,Duck ,
구이,오리구이,Roast Duck ,A duck stuffed with ginger and green onions and hung by its tail to be roasted.
"국,탕",오리탕,Duck Stew ,"A stew of duck slowly simmered with onions, garlic, radishes, and other vegetables."
과일류,오미자,Omija ,"The fruit of the Chinese magnolia vine, used in teas, wine, punches, and as a medicine. Omija literally means ""five tastes"" and is said to be ail the flavors: sweet, salty, bitter, sour, and spicy."
음청류,오미자차,Omija Tea ,A tea made of omija (the fruit of the Chinese magnolia vine). Served hot or cold with honey and garnished with pine nuts.
음청류,오미자화채,Omija Punch ,"A fruit punch made of omija (fruit of the Chinese magnolia vine), sugar and various fruits. Azalea petals can also be added."
패류,오분자기,Small Abalone ,A shellfish similar to a small abalone. lt is often pickled in salt or put in stews and porridges.
젓갈,오분자기젓,Pickled Small Abalone ,Small abalones pickled in salt. A regional specialty of Jeju-do.
찜,오분자기찜,Braised Small Abalone ,Small abalones seasoned in spices and braised.
채소류,오이,Cucumber(s) ,
"국,탕",오이냉국,Chilled Cucumber Soup,"Julienned cucumbers, seasoned and salted, then added to a chilled vinegary soup."
생채,오이무침,Seasoned Cucumbers,"Sliced cucumbers lightly salted and mixed with julienned white radish, red chili pepper powder, green onions, garlic and ginger. Also called oi-saengchae."
볶음,오이볶음,Sauteed Cucumbers ,"Sliced cucumbers lightly salted and squeezed by hand to remove excess liquid, then sauteed with minced pork and seasonings."
선,오이선,Stuffed Cucumbers,"Cucumbers cut into three or four sections, slit lengthwise and lightly salted. After lightly sauteeing the cucumbers, each section is stuffed with beef, egg, sliced mushrooms and others ingredients. A mixture of water, sugar and vinegar is poured over the stuffed cucumbers to give a sweet, vinegary flavor."
김치,오이소박이,Stuffed Cucumber Kimchi ,"A kimchi made of cucumbers cut into three to four sections, slit lengthwise, and stuffed with a filling of green onions, garlic, ginger and red chili pepper powder."
장아찌,오이장아찌,Cucumbers Pickled in Soy Sauce or Red Chili Pepper Paste,"Salted cucumbers pickled in a mixture of vinegar, soy sauce and sugar, or put into a jar of red chili pepper paste or soybean paste (doenjang). Keeps for a long period and is served as a side dish."
장아찌,오이지,Cucumbers Pickled in Salt Water ,Cucumbers pickled by pouring hot salt water over them and letting them sit for a long time.
연체류,오징어,Squid ,Squid are eaten fresh or dried in the open air.
구이,오징어구이,Grilled Squid ,"Fresh squid coated with red chili pepper paste and soybean paste (doenjang) and grilled. When cooked with red chili pepper paste, this dish is called squid bulgogi."
밥,오징어덮밥,Squid over Rice ,Squid and vegetables stir-fried in a red chili pepper sauce and served on rice.
회,오징어무침,Seasoned Squid ,Blanched squid slices and vegetables mixed with a red chili pepper sauce.
회,오징어숙회,Parboiled Squid ,Parboiled squid slices served with vinegared red chili pepper paste sauce.
순대,오징어순대,Stuffed Squid ,A cleaned squid stuffed with a mixture of dubu (soybean curd 
젓갈,오징어젓,Pickled Squid ,Slices of fresh squid pickled in salt with red chili pepper powder.
마른찬,오징어채무침,Seasoned Dried Squid Strips ,Thin strips of dried squid mixed in a spicy red chili pepper sauce or seasoned soy sauce.
마른찬,오징어채볶음,Sauteed Dried Squid Strips ,Thin strips of dried squid sauteed with soy sauce or red chili pepper paste.
회,오징어회,Raw Squid ,"Fresh squid sliced and served raw with a dipping sauce of vinegared red chili pepper paste.	"
어류,옥돔,Tilefish ,"Tilefish has a fresh and slightly sweet, buttery flavor."
구이,옥돔구이,Grilled Tilefish ,Tilefish sprinkled with salt and grilled.
"국,탕",오돔미역국,Tilefish and Seaweed Soup ,A soup made of tilefish fillets cooked with seaweed. A regional specialty of Jeju-do.
죽,옥돔죽,Rice Porridge with Tilefish ,Rice porridge with tilefish. The fish is added to the rice and simmered until thick.
면,온면,Buckwheat Noodle Soup ,A warm buckwheat noodle soup in a beef broth served with kimchi. Also refers to all hot noodles.
밥,온반,Chicken Soup with Rice,Cooked rice in a chicken broth topped with seasoned chicken. A specialty of the Pyeongan-do region in North Korea.
찌개,왁저지,Braised Radish with Beef and Mushroom,Large radish pieces simmered over low heat with seasoned beef slices and mushrooms. Some variations use pork or fish instead of beef. This dish is popular during autumn when radishes are in season.
"전,적,튀김",완자전,Pan-fried Beef Patties (2) ,"Patties of minced beef, dubu (soybean curd "
"국,탕",완자탕,Fish or Meatball Soup ,"A soup of small beef, pork, or chicken meatballs and fish in a clear meat broth. The balls are dipped in egg before they are put in the soup."
"국,탕",용봉탕,Chicken and Crusian Carp Soup,"A soup of chicken and crusian carp with shiitake mushrooms, jujubes (Korean dates), and chestnuts. This soup is said to be an aphrodisiac."
"국,탕",우거짓국,Chinese Cabbage Soup (2) ,A soup made of the green leaves of the Chinese cabbage in a soybean paste (doenjang) broth.
찜,우둔찜,Rump Stew with Vegetables ,"A stew of beef rump with shiitake mushrooms, white radish, chestnuts and gingko nuts mixed in a seasoned soy sauce. The ingredients are simmered over a long period until the meat has absorbed the full flavor of its sauce."
찌개,우렁된장찌개,Mud Snail and Soybean Paste Stew,A soybean paste (doenjang) stew with mud snails and vegetables.
찜,우렁찜,Braised Mud Snails ,Mud snails braised with bean sprouts and vegetables in a dried anchovy broth thickened with flour.
육류,우설,Boiled Beef Tongue ,"Beef tongue is a delicacy in Korea. lt is boiled, thinly sliced, and served with other meats and a dipping sauce or added to special soups."
채소류,우엉,Burdock ,A root vegetable often served as a side dish with soy sauce.
조림,우엉조림,Glazed Burdock ,"Burdock simmered in soy sauce, sesame oil, and sugar until glazed and garnished with sesame seeds and red chili pepper threads."
고명,웃기,Toppings ,"Toppings or garnishes, such as fruit or dried meats, used to decorate and add flavor to meal dishes or rice cakes."
음청류,원소병,Honey Punch with Sweet Rice Balls,A traditional drink made of water and honey with small rice cake balls filled with jujubes (Korean dates) and citron peel.
나물,원추리나물,Day Lily Namul ,"Blanched day lily stems seasoned with soybean paste (doenjang), red chili pepper paste, green onions, garlic, sesame oil, and sesame salt. This is a spring dish."
한과,유과,Deep-fried Grain Cookies ,A variety of traditional cookies made with different kinds of flour and pan-fried or deep-fried. Each variety of cookie has a different name according to its ingredients and how it is cooked. Also called yumilgwa.
과일류,유자,Citron ,
한과,유자정과,Glazed Citron,Citron peel cooked in water then simmered in sugar water until glazed. The citron fruit is added during the glazing process.
음청류,유자차,Citron Tea,A tea made by adding hot water to a mixture of citron peel and honey or sugar syrup resembling marmalade.
"국,탕",육개장,Spicy Beef and Leek Soup,"A soup made with beef, green onions, fiddleheads, and other vegetables in a spicy red broth seasoned with red chili pepper powder, garlic, and soy sauce."
마른찬,육포,Dried Beef Jerky,"Thin slices of beef marinated in soy sauce, black pepper, sugar and other seasonings, then dried in the shade. Often served as a dried snack with alcohol."
회,육회,Korean Beef Steak Tartare,"Thinly sliced raw beef seasoned with soy sauce, salt and sesame oil. Similar to steak tartare, this dish is usually served with julienned Korean pear and garlic."
밥,육회돌솥비빔밥,Stone Pot Bibimbap with Beef Tartare,"A bibimbap served in a hot stone pot with vegetables and seasoned beef tartare over rice. When served, ail the ingredients are mixed together with a spicy red chili pepper sauce in the sizzling pot."
한과,율란,Mashed Chestnut Sweets,"Mashed cooked chestnuts mixed with cinnamon and sugar, molded into chestnut shapes, and rolled in ground pine nuts or cinnamon."
음청류,율무차,YulmuTea,A hot drink made by adding roasted ground Job' s tears (this white powder has a nutty flavor) into hot water with sugar or honey.
어류,은어,Sweetfish,
견과류,은행,Gingko,
증류주,이강주,Igangju,"A liquor made by adding pear juice, ginger juice, honey and water to soju. This liquor is typically produced in February according to the lunar calendar and is famous in Jeonju in Jeolla-do in southwestern Korea and Hwanghae-do in North Korea."
채소류,인삼,Ginseng,A root famous for its medicinal properties that is also used for cooking. Fresh ginseng is called susam and is served sliced as a special appetizer or dessert. lt can also be made into a juice. Dried ginseng is most often used to make tea or is added to dishes such as soups.
한과,인삼정과,Candied Ginseng,"Sliced ginseng simmered until soft, then glazed in water with honey, sweet syrup, sugar and salt until candied."
청주,인삼주,Ginseng Wine,Liquor fermented with ground ginseng or flavored by adding a pouch of ginseng to wine that has already been made.
음청류,인삼차,Ginseng Tea,"A tea traditionally made by simmering ginseng, jujubes (Korean dates), and peeled chestnuts. Recently, an instant powdered version has become widely available. Ginseng tea is served with pine nuts on top."
떡,인절미,Sweet Rice Cake,"A rice cake made of steamed glutinous rice that is beaten to make a firm, sticky dough. The rice cake is cut into squares and coated in ground beans or black sesame seeds to prevent them from sticking together and give them flavor."
"국,탕",임자수탕,Chilled Chicken Soup,"A soup made of chopped chicken, minari(Korean parsley) stems, julienned egg garnish, and ground sesame seeds in a chilled chicken broth."
찜,잉어찜,Braised Carp,Seasoned carp braised or cooked in boiling water.
회,잉어회,Raw Carp,"Freshly cleaned carp filleted, sliced thinly, and served raw."
구이,자리돔구이,Grilled Damselfish,Damselfish seasoned with salt or soy sauce and grilled.
회,자리돔물회,Raw Damselfish in Chilled Broth,"Thinly sliced raw damselfish seasoned with sesame leaves, green chili peppers and chives and served in a seasoned chilied broth. A specialty of Jeju-do."
마른찬,자반,Salted Fish,"Various types of fish that have been cleaned, salted and preserved. Served as side dishes."
음청류,작설차,Sparrow's Tongue Green Tea,"A green tea made with the new leaves of that year. Jakseol literally means ""sparrow's tongue"" and refers to the shape of the tea leaf."
면,잔치국수,Banquet Noodles,"A simple noodle dish of thin wheat noodles in a clear broth and topped with julienned egg garnish, sauteed beef, julienned summer squash and mushrooms. This dish was traditionally served at large banquets and feasts."
"전,적",잡누름적,Mixed Brochette,"Colorful brochettes made of beef, abalone, sea cucumber, shiitake mushrooms, bellflower root (doraji), and carrots. The ingredients are cut into strips of similar lengths, marinated and pan-fried separately, and put together on skewers."
"전,적",잡산적,Beef and Vegetable Brochette (2),"Brochettes of beef, liver, tripe, green onions and mushrooms. The ingredients are cut into similar lengths, pan-fried with seasonings, and put together on skewers."
나물,잡채,Japchae (Clear Noodles Stir-fried with Vegetables),"Vegetables and beef pan-fried separately then mixed with clear noodles, soy sauce, and other seasonings. One of the most popular party dishes, this dish is often seen at special banquets."
견과류,잣,Pine Nut(s),
한과,잣강정,Pine Nut Cookies,"Cookies made with rice flour that are deep-fried, dipped in sweet syrup, and topped with pine nuts."
한과,잣박산,Pine Nut Candy,"A sweet treat made of pine nuts mixed with maltose syrup, sugar and honey and left to harden."
죽,잣죽,Pine Nut Porridge,A rice porridge cooked with pine nuts.
밥,장국밥,Rice in Beef Soup,"Cooked rice in a hot beef broth, often topped with beef brochettes and julienned egg garnish. This dish originates in Seoul."
김치,장김치,Soy Sauce Kimchi,"A kimchi made with soy sauce. The young leaves in the heart of the cabbage are sliced and mixed with julienned white radish, red chili threads, garlic, green onions, ginger, minari (Korean parsley), and mushrooms. Ali the ingredients are then seasoned together with soy sauce."
"전,적",장떡,Pan-fried Soybean Paste Patties,"Thin pan-fried patties made with glutinous rice flour, soybean paste (doenjang), minced meat, green onions, garlic, black pepper and sesame seeds."
조림,장산적,Grilled and Braised Beef,"Beef fillet tenderized with small incisions, seasoned and grilled, then braised in soy sauce and spices."
장아찌,장아찌,Pickled Vegetables,"Vegetables pickled in soybean paste (doenjang) or red chili pepper paste and served as a side dish. The most commonly used vegetables include white radish, cucumber, scallions, Korean melons (small yellow melons with a smooth rind), soybean leaves, and green chili peppers."
구이,장어구이,Grilled Freshwater Eel,"Eel marinated in a sauce of red chili pepper paste, soy sauce, sugar, green onions, garlic and sesame oil and grilled. The eel can also be lightly steamed, coated with a mixture of soy sauce and sugar, and then grilled."
조림,장조림,Beef Chunks Braised in Soy Sauce,Pieces of beef braised in soy sauce and water until the meat turns dark and salty. The meat is then cut into smaller pieces for serving. This is one of the most traditional and popular beef side dishes.
"국,탕",재첩국,Small Clam Soup,"Small clams, steamed and shelled, cooked in a clam broth and seasoned with salt. A specialty of Gyeongsang-do in southeastern Korea."
"전,적",적,Brochette,"Meats and vegetables thinly sliced and put on skewers, dipped in flour and egg, and pan-fried."
"전,적",전,Pan-fried Delicacies,"Small patties of minced meat or chopped vegetables dipped in flour and egg, then pan-fried."
전골,전골,Hot Pot,"A dish of broth, meat, vegetables, and a variety of seasonings and spices cooked at the table in a wide, shallow pot."
패류,전복,Abalone,
죽,전복죽,Rice Porridge with Abalone,A savory rice porridge cooked with minced abalone.
찜,전복찜,Simmered Abalone,"Whole or chopped abalone with beef, sea cucumber, octopus, mussels, mushrooms and spices simmered in seasoned soy sauce and honey."
초,전복초,Abalone in Soy Sauce,"Abalone simmered over low heat in a mix of soy sauce, sugar and black pepper."
회,전복회,Raw Abalone,Fresh or blanched abalone thinly sliced and served raw with a dipping sauce of either soy sauce and vinegar or vinegared red chili pepper paste.
밥,전주비빔밥,Jeonju-style Bibimbap,"A mixed rice dish with a wide variety of blanched and seasoned vegetables, minced beef, and a fried egg served on a bowl of rice, ail mixed together with red chili pepper paste before eating. A popular dish originating in the city of Jeonju."
떡,절편,Patterned Rice Cake,"White rice cakes rolled fiat, pressed with patterned molds, and cut into small squares. The patterned rice cakes are then brushed with oil."
젓갈,젓갈,Pickled Seafood,Sauce made of various kinds of fish or seafood that have been pickled in salt and fermented. This sauce can be served as a side dish or used as a seasoning for other dishes.
찌개,젓국찌개,Pickled Shrimp Stew,A stew of pollack roe and dubu (soybean curd / tofu) seasoned with red chili pepper in a pickled shrimp broth.
한과,정과,Candied Fruits or Roots,Traditional sweet treats made of fruits or roots candied in honey or syrup.
기타,정식,Set Menu,The set menu of a restaurant; usually the specialty of the house.
육류,제육,Cooked Pork,Pork. Also refers to thinly sliced cooked pork.
패류,조개,Clam (2),
국수,조개국수,Noodles in Clam Broth,Home-style noodles made of wheat or bean flour cooked in a clear clam broth.
젓갈,조개젓,Pickled Small Clams,Shelled clams pickled in salt. Served as a side dish.
"국,탕",모시조개탕,Clam Soup (2),"Soup with clams in their shells and vegetables in a clam broth, seasoned with red chili pepper powder."
어류,조기,Yellow Croaker (Yellow Corvina),
구이,조기구이,Grilled Yellow Croaker,Croaker salted and grilled.
"국,탕",조기매운탕,Spicy Yellow Croaker Stew,"A spicy red stew with croaker, beef and vegetables."
젓갈,조기젓,Pickled Yellow Croaker,Croaker pickled in salt to make a thick fish sauce.
조림,조기조림,Braised Yellow Croaker,"Croaker braised in seasoned soy sauce, green onions and garlic."
한과,조란,Mashed Jujube Sweets,Steamed and mashed jujubes (Korean dates) mixed with sugar and molded back into their original shape. The balls are rolled in ground pine nuts to hold their shape and prevent them from sticking to each other.
떡국,조롱떡국,Rice Ball Pasta Soup,Beef broth soup with rice pasta. A specialty of the Gaeseong region.
조림,조림,Soy Sauce Braised Dishes,These braised dishes are made by simmering meat or fish in soy sauce and other seasonings.
조림,족발,Glazed Pig's Feet,"Pig's feet cooked in soy sauce, sugar, ginger and garlic until glazed."
"국,탕",족탕,Ox Foot Soup,A soup of ox feet and beef shank simmered for a long time.
족편,족편,Pressed Ox Feet,Ox feet simmered until the meat comes off the bones. The meat is pressed and served thinly sliced with vinegar and soy sauce.
연체류,주꾸미,Baby Squid,"Smaller than baby octopus, baby squid is usually parboiled and served with a dipping sauce of vinegared red chili pepper paste."
구이,주물럭구이,Grilled Beef with Salt and Sesame Oil,Strips of beef rubbed with salt and sesame oil and grilled.
떡,주악,Pan-fried Sweet Rice Cake Coated with Honey,"Rice cakes made of glutinous rice flour and natural colorings, stuffed with fillings such as mushrooms, jujubes (Korean dates) and chestnuts, and pan-fried. The fried cakes are dusted with sugar or dipped in honey."
죽,죽,Porridge,Porridge made of rice or other grains simmered in water until thick. Served as a main dish or in smaller portions as an appetizer.
채소류,죽순,Bamboo Shoots,
볶음,죽순볶음,Sauteed Bamboo Shoots,"Bamboo shoots sauteed with pork, green chili peppers, onions, and seasonings."
찜,죽순찜,Stuffed Bamboo Shoots,"Bamboo shoots slit lengthwise, stuffed with seasoned beef and mushrooms, and simmered in broth."
나물,죽순채,Julienned Bamboo Shoots,"Bamboo shoots cooked in water, thinly sliced, and mixed with vegetables, soy sauce and vinegar. The ingredients may be stir-fried with minced pheasant meat and seasoned with salt instead of soy sauce."
회,죽순회,Parboiled Bamboo Shoots,"Blanched young bamboo shoots cut into thin, wide slices and served with a dipping sauce of vinegared red chili pepper paste."
양념,죽염,Bamboo Salt,A flavored salt made by filling a hollow bamboo stem that has been cut into sections with plain salt. The sections are then scorched in a hot oven and the salt is removed for use. This salt is said to have a superior taste and medicinal benefits.
떡,증편,Rice Wine Cake,"Steamed rice cakes made with white rice flour and rice wine. The wine ferments the dough and gives a tangy taste to the cakes. The tops of these white, fluffy cakes are colorfully garnished. Also called sultteok (wine cake)."
고명,지단,Egg Garnish,"Egg whites and yolk beaten together or separately, then pan-fried very thinly. The cooked egg is julienned or cut into diamonds, and is used as a topping or garnish for many dishes."
청주,진달래술,Azalea Liquor,A sweet liquor made by adding azalea petals and sugar to soju. Also called dugyeonju.
전,진달래화전,Pan-fried Cake with Azaleas,Small pan-fried fiat rice cakes decorated with azalea flowers. Also called dugyeonhwajeon.
음청류,진달래화채,Azalea Punch,"Azalea petals coated in starch, blanched, then added to a sugared omija (fruit of the Chinese magnolia vine) punch."
장아찌,짠무,Pickled Radish,Autumn white radishes pickled whole in salt and kept until the following summer.
