±¸ºĞ,À½½Ä¸í,¿µ¹®,À½½Ä¼³¸í
Àü°ñ,ºÒ³«Àü°ñ,Bulgogi and Baby Octopus Hot Pot,A hot pot of marinated beef and spiced baby octopus cooked with vegetables in a broth.
±âÅ¸,ºÒ¹éÁ¤½Ä,Bulgogi Set Menu,"A set menu of grilled marinated beef, rice, and some side dishes."
Âò,ºØ¾îÂò,Braised Crusian Carp,Carp braised in a soybean paste (doenjang) broth.
±èÄ¡,(¹«)ºñ´Ã±èÄ¡,Stuffed White Radish Kimchi,A kimchi made of whole white radishes with diagonal slits that are stuffed with sliced radish and seasonings.
¸é,ºñºö±¹¼ö,Mixed Noodles,"Cooked noodles mixed with vegetables, meat and a spicy sauce."
¸é,ºñºö³Ã¸é,Mixed Buckwheat Noodles,"Chilled buckwheat noodles mixed in a spicy sauce and topped with sliced cold meat, sliced Korean pear, cucumbers, and other vegetables."
¹ä,ºñºö¹ä,Bibimbap (Rice Mixed with Vegetables and Beef),"One of the most popular Korean dishes, bibimbap consists of a bowl of rice topped with fresh and cooked vegetables and red chili pepper paste. Everything is mixed together before eating. Seasoned raw beef, grilled beef, or a fried egg can also be added. There are many styles and regional variations of this dish. The cities of Jeonju and Jinju are famous for their distinctive bibimbap and there are other variations such as hot stone pot (dolsot) bibimbap, soybean sprout bibimbap, and vegetable bibimbap. Goldongban is the royal court term for bibimbap."
Âî°³,ºñÁöÂî°³,Soybean Puree Stew,A stew made of the soybean puree that is left after making dubu (soybean curd / tofu). Sliced pork and / or vegetables are added to the stew while cooking.
±âÅ¸,ºù¼ö,Shaved Ice with Toppings,"A refreshing summer snack made of shaved ice topped with sweet red bean, fruit, and sweetened condensed milk. ln accordance with the main topping, different variations are called pat-bingsu (sweet red bean), gwail-bingsu (fruit), and so on."
À°·ù,»ç°ñ,Mixed Ox Bones,"Ox bones are used mainly to make soup stock. The chopped bones are soaked to eliminate any impurities and remaining blood, then are simmered in water for a long time to produce a milky broth."
°úÀÏ·ù,»ç°ú,Apple,
"Àü,Àû",»ç½½(¾î»ê)Àû,Pan-fried Beef and Fish Brochette,Pan-fried skewers of marinated beef and fish.
Âò,»çÅÂÂò,Simmered Beef Shank,"Beef shanks simmered for a long period with white radish, carrots, shiitake mushrooms, spices and soy sauce in a meat broth."
ÇÑ°ú,»êÀÚ,Deep-fried Sweet Rice Cookies,"Rice cookies made of a glutinous rice flour dough cut into squares, deep-fried, and coated with puffed rice."
"Àü,Àû",»êÀû,Beef and Vegetable Brochette (1),"Grilled skewers of beef and vegetables. The brochettes can also be dipped in flour and egg, then pan-fried."
¹ä,»êÃ¤ºñºö¹ä,Bibimbap with Wild Vegetables,"A type of bibimbap made with seasoned wild leafy greens and root vegetables gathered in the mountains. The vegetables are seasoned, put on top of the rice, and then everything is mixed together with a spicy red pepper sauce before eating."
°úÀÏ·ù,»ì±¸,Apricot,
ÇÑ°ú,»ì±¸Æí,Jellied Apricots,"Apricots that have been cooked in water, strained, and simmered in sugar or honey. Starch is added to make a jelly."
±¸ÀÌ,»ï°ã»ì±¸ÀÌ,Grilled Pork Belly,"Strips of pork belly (the same cut as bacon but not smoked) mixed with a spicy red chili pepper paste sauce and grilled, or grilled plain and dipped in a mixture of sesame oil and salt before eating."
"±¹,ÅÁ",»ï°èÅÁ,Chicken Ginseng Soup,"A soup made of a whole young chicken stuffed with ginseng, sticky rice, garlic, jujubes (Korean dates), and chestnuts, then cooked in a clear broth. With meat, vegetables, rice and hot soup all in one dish, this soup is popular for its wholesome flavor and health benefits."
¾î·ù,»ïÄ¡,Japanese Spanish Mackerel,
¸¶¸¥Âù,»ïÇÕÀå°ú,Three Braised Delicacies,"Seasoned beef, abalone, and mussels braised with carrots, onions and spices."
Ã¤¼Ò·ù,»óÃß,Lettuce,
»ıÃ¤,»óÃß°ÑÀıÀÌ,Lettuce Salad,A salad of lettuce leaves tossed in a seasoned soy sauce.
½Ó,»óÃß½Ó,Rice Wrapped in Lettuce,"Spoonfuls of rice wrapped in lettuce leaves, often with other vegetables such as green onions and crown daisy and pieces of fish or meat, with a mixed sauce of soybean paste (doenjang) and red chili pepper paste."
°©°¢·ù,»õ¿ì,Shrimp,
Á£°¥,»õ¿ìÁ£,Pickled Shrimp,A salty fish sauce made of baby shrimp pickled in salt. This sauce is used to make kimchi and to season soups and other dishes with a salty flavor.
¸¶¸¥Âù,»õ¿ìÆ¢±è,Deep-fried Shrimp,"Shrimp coated in a flour and egg batter, then deep-fried."
±¸ÀÌ,»ı°¥ºñ±¸ÀÌ,Grilled Fresh Short Ribs,Beef short ribs grilled without being marinated first. Some restaurants use this name to refer to grilled ribs that were not frozen.
Ã¤¼Ò·ù,»ı°­,Ginger,Ginger is not only used to flavor food but also to make tea and traditional liquor.
ÇÑ°ú,»ı°­Á¤°ú / »ı°­Àü°ú,Candied Ginger,Thin slices of ginger simmered in sugar and sweet syrup until candied.
À½Ã»·ù,»ı°­Â÷,Ginger Tea,A tea made of fresh ginger slices cooked in boiling water. Powdered instant versions are now widely available.
°úÀÏ·ù,»ı·ü,Peeled Fresh Chestnuts,Chestnuts peeled and served fresh.
"Àü,Àû",»ı¼±Àü,Pan-fried Fish Fillets,"Fish fillet coated in flour, dipped in egg, and pan-fried. Commonly used fish for this dish include halibut, cod, pollack and shrimp. Also called jeonyueo."
±âÅ¸,»ı¼±ÃÊ¹ä,Raw Fish on Rice,"Similar to Japanese sushi, thin slices of raw fish and a small amount of wasabi are placed on top of bite-sized lumps of white rice that has been cooked with a little vinegar and sugar."
È¸,»ı¼±È¸,Raw Fish,Thin slices of fresh fish served with mustard soy sauce or vinegared red chili pepper paste and eaten raw.
»ıÃ¤,»ıÃ¤,Fresh Vegetable Salad,Side dishes made of fresh salad vegetables tossed in a seasoned dressing.
±èÄ¡,¼¯¹ÚÁö,Chinese Cabbage and Radish Kimchi,A kimchi made of pre-salted Chinese cabbages and white radishes cut into pieces then mixed in kimchi spices or fish sauce.
Âî°³,¼¯¾îÂî°³,Mixed Stew,"A stew made with a wide range of ingredients, usually with a spicy stew base. This dish originates from home-made stews using whatever ingredients were available at the time."
"±¹,ÅÁ",¼±ÁöÇØÀå±¹ / ¼±Áş±¹,Hangover Soup with Ox Blood,"A soup made of bean sprouts, fiddleheads, other vegetables, and ox blood in an ox bone broth with soybean paste (doenjang) and red chili pepper paste. This soup is popular as a remedy for hangovers."
"±¹,ÅÁ",¼³··ÅÁ,Ox Bone Soup,"A milky soup made by simmering the bones, head, and other parts of the cow for a long period."
±¸ÀÌ,¼·»êÀû,Pan-fried Beef Patries (1),Thin square patties of minced beef mixed with seasonings and grilled.
ÆĞ·ù,¼º°Ô,Sea Urchin,
Á£°¥,¼º°ÔÁ£,Pickled Sea Urchin Roe,Yellow sea urchin roe pickled in salt.
"±¹,ÅÁ",¼º°Ô±¹,Sea Urchin Soup,A soup made with sea urchin and usually seaweed. A regional specialty of Jeju-do.
ÆĞ·ù,¼Ò¶ó,Conch,
È¸,¼Ò¶ó¹«Ä§,Spicy Conch,"Parboiled conch removed from the shell, sliced, and dressed with a spicy vinegar sauce."
È¸,¼Ò¶óÈ¸,Parboiled Conch,Slices of parboiled conch served as a hoe (raw fish) dish with vinegar and soy sauce or vinegared red chili pepper paste.
¸é,¼Ò¸é,Thin Noodles,Thin white noodles (similar to Japanese somyeon) cooked in water and added to a clear broth.
±èÄ¡,¼Ò¹ÚÀÌ±èÄ¡,Stuffed Kimchi,"A kimchi made of vegetables such as cucumber, white radish, eggplant, or chili pepper that are slit lengthwise and stuffed with spicy filling."
Áõ·ùÁÖ,¼ÒÁÖ,Soju,"A clear, distilled liquor made of rice, sweet potatoes and other ingredients similar to vodka. Along with makgeolli, this is the most popular alcoholic beverage in Korea and is also the base liquor for many other drinks. The alcohol content is 20-25%."
¹ö¼¸·ù,¼ÛÀÌ,Pine Mushroom,Pine mushrooms have a distinct flavor and scent and are harvested from pine forests in the fall.
¹ä,¼ÛÀÌ¹ä,Pine Mushroom Rice,Rice cooked with pine mushrooms.
ººÀ½,¼ÛÀÌººÀ½,Sauteed Pine Mushroom,"Thinly sliced pine mushrooms lightly seasoned and sauteed with beef, onions and the white stems of green onions."
"Àü,Àû",¼ÛÀÌ»êÀû,Pine Mushroom and Beef Brochette,Grilled brochettes of seasoned pine mushrooms and beef.
Àü°ñ,¼ÛÀÌÀü°ñ,Pine Mushroom Hot Pot,"A hot pot of pine mushrooms, seasoned beef, minari (Korean parsley), and other vegetables cooked in broth."
Âò,¼ÛÀÌÂò,Simmered Pine Mushroom with Beef Stuffing,"Pine mushrooms with stems cut lengthwise and stuffed with a beef filling. The stuffed mushrooms are simmered with other ingredients such as white radish, chestnuts, and gingko nuts."
¶±,¼ÛÆí,Half-moon Rice Cake,"Half-moon shaped rice cakes made of rice flour dough stuffed with various fillings. A traditional festival dish served on Chuseok, the Korean harvest festival."
À°·ù,¼è°í±â,Beef,"Korean cuisine incorporates almost all parts of the cow, including sirloin, loin, shank, brisket, rump, short ribs, blood, bones, knees, hoof, tail, head, small intestines, tripe, and tongue. Lean meats such as short ribs, sirloin and loin are grilled. Shank, brisket and ribs are braised and used for soups. Neck, shoulder and rump are used for bulgogi. Shoulder and shank are served seasoned and raw. Rump and round are used for brochettes and are dried to make jerky. Rump, shoulder and round are simmered in soy sauce."
"±¹,ÅÁ",¼è°í±â¸¼ÀºÀå±¹,Clear Beef Soup (2),"A clear soup made of slices of beef stir-fried with some salt, pepper, garlic and other seasonings then cooked in water to make a broth. Often used as the base for noodle or dumpling soups."
"Àü,Àû",¼è°í±â»êÀû,Beef Brochette,"Grilled brochettes of marinated slices of beef, green onions and mushrooms."
±¸ÀÌ,¼è°í±â¼Ò±İ±¸ÀÌ,Grilled Beef,Pieces of beef lightly seasoned with salt and grilled.
Àü°ñ,¼è°í±âÀü°ñ,Beef Hot Pot,A hot pot of beef with vegetables cooked together in a little broth. This dish is usually cooked and served at the table.
¸¶¸¥Âù,¼è°í±âÆ¢±è,Deep-fried Beef,Slices of beef dipped in a flour batter and deep-fried.
Âò,¼è²¿¸®Âò,Braised Oxtail,Pieces of oxtail mixed with spices and seasonings and braised in broth over low heat for a long time.
¶±,¼è¸Ó¸®¶±,Rice Cake with Beans and Chestnuts,"Steamed rice cake made of glutinous rice flour, sugar, chestnuts, jujubes (Korean dates), and beans. Served in thin slices."
ÆíÀ°,¼è¸Ó¸®ÆíÀ°,Pressed Ox Head,"Ox head meat that has been boiled, taken off the bone, and pressed to remove excess liquid. Served in slices."
Âò,¼ö¶õ,Poached Eggs,Eggs cooked lightly in boiling water.
°úÀÏ·ù,¼ö¹Ú,Watermelon,
ÇÑ°ú,¼ö»ïÁ¤°ú,Candied Fresh Ginseng,Pieces of ginseng simmered in sugar water then candied with sweet syrup or honey.
°î·ù,¼ö¼ö,Millet,
¶±,¼ö¼ö°æ´Ü,Millet Balls,"Millet flour cakes formed into balls, cooked in water, then rolled in ground red beans or beans. Also called susu-pattteok."
¶±,¼ö¼öºÎ²Ù¹Ì / ¼ö¼öÀüº´,Millet Pancake,"Pan-fried, half-moon shaped millet cakes with red bean filling. Also called chalsusu-jijim."
ÆíÀ°,¼öÀ°,Boiled Beef Slices,"Pieces of beef cooked in boiling water, then cut into thin slices and served hot."
À½Ã»·ù,¼öÁ¤°ú,Cinnamon Punch with Dried Persimmon,"A sweet punch is made of ginger, cinnamon sticks and sugar simmered together in water. Dried persimmons are added after cooling and the punch is served with a few pine nuts floating on top. One of Korea's most popular dessert drinks."
¼öÁ¦ºñ,¼öÁ¦ºñ,Sujebi Soup,"A soup with summer squash, other vegetables, and small dumplings. The dumplings are made of flour dough that is hand broken into little pieces and dropped into the hot soup right before serving."
ÇÑ°ú,¼÷½Ç°ú,Glazed Fruits and Nuts,"Fruits and nuts, especially chestnuts, jujubes (Korean dates), and ginger, that have been simmered in honey, sweet syrup and sugar until glazed."
³ª¹°,¼÷ÁÖ³ª¹°,Mung Bean Sprout Namul,A side dish of mung bean sprouts blanched in salt water and seasoned.
¼ø´ë,¼ø´ë,Korean-style Blood Sausage,"A sausage of pork blood, vegetables, and rice or noodles."
"±¹,ÅÁ",¼ø´ñ±¹,Blood Sausage Soup,A soup made of cabbage and sliced blood sausage in an ox bone broth.
µÎ·ù,¼øµÎºÎ,Soft Dubu,Soft dubu (soybean curd / tofu) before thickeners are added to harden the curd to its usual texture.
Âî°³,¼øµÎºÎÂî°³,Spicy Soft Dubu Stew,"A spicy red stew with soft dubu (soybean curd / tofu), soybean paste (doenjang), fish sauce, clams, summer squash, and some meat."
±èÄ¡,¼ø¹«±èÄ¡,Turnip Kimchi,A kimchi made of turnips (smaller than the usual white radish used in Korea). This is a specialty of the Ganghwado region.
À½Ã»·ù,¼ş´¿,Browned Rice Tea,A tea made of the browned rice from the bottom of the rice pot. Water is poured into the pot and boiled until the slightly burnt rice on the bottom softens and mixes with the water. This popular drink is served hot after meals.
±¸ÀÌ,½¡ºÒ°¥ºñ,Charcoal Barbecued Beef Short Ribs,Beef short ribs grilled at the table over charcoal. The meat can be served in two ways: Marinated ribs are called yangnyeom (seasoned) galbi and plain ribs without seasoning are called saenggalbi.
Ã¤¼Ò·ù,½Ã±İÄ¡,Spinach,
"±¹,ÅÁ",½Ã±İÄ©±¹,Spinach Soup,A soup made with spinach in beef or clam broth.
Ã¤¼Ò·ù,½Ã·¡±â,Dried Radish Leaves,"Leaves of white radish or Chinese cabbage that have been dried to preserve them through the winter and used later in soups, stews or seasoned side dishes."
¼÷Ã¤,½Ã·¡±â³ª¹°,Cooked Dried Radish Leaf Namul,"Dried radish or Chinese cabbage leaves that have been cooked in water, seasoned, and sauteed lightly in oil. Ground dried anchovies or sesames are some of the unique seasonings used to flavor this dish."
Âî°³,½Ã·¡±âÂî°³,Dried Radish Leaf Stew,A stew of dried radish or Chinese cabbage leaves that have been boiled in water and added to a soybean paste (doenjang) broth.
"±¹,ÅÁ",½Ã·¡±ê±¹,Dried Radish Leaf Soup,A soup of dried radish leaves or Chinese cabbage leaves that have been cooked in water and added to a thick soybean paste broth.
¶±,½Ã·ç¶± / ½Ã·çÆí,Layered Rice Cake,"A rice cake made with white rice flour, layered with red bean filling and steamed."
¾ç³ä,½ÄÃÊ,Vinegar,
À½Ã»·ù,½ÄÇı,Rice Punch,"A traditional sweet dessert drink made of malt and rice. When served, there are often rice grains floating on top. Also called dansul."
Àü°ñ,½Å¼±·Î,Royal Hot Pot,"A hot pot of seafood, fine meats and vegetables in broth cooked at the table in a brass pot that is kept warm by a small charcoal fire underneath. Traditionally served at the royal court."
¹ö¼¸·ù,½Î¸®¹ö¼¸,Ssari Mushroom ,Coral mushroom. The caps are said to taste like chicken and the stems like abalone.
½Ó,½Ó,Vegetable Leaf Wraps,"A method of wrapping spoonfuls of cooked rice, grilled meat, or raw fish in various leafy vegetables, such as lettuce, crown daisy, sesame leaves, kelp (seaweed), and cooked pumpkin leaves."
½Ó,½Ó¹ä,Rice with Vegetable Leaf Wraps,"A dish with rice accompanied by various leafy vegetables, cooked or fresh, such as lettuce, crown daisy, steamed pumpkin leaves, sesame leaves, and kale."
À½Ã»·ù,½ÖÈ­Â÷,Ssangwhacha (Medicinal Tea) ,A health tea made with medicinal herbs and brewed for a long period. Such teas are generally taken as a cold remedy.
"±¹,ÅÁ",½î°¡¸®¸Å¿îÅÁ,Spicy Mandarin Fish Stew ,"A spicy stew made of mandarin fish, white radish, green chili peppers, crown daisy, green onions, and garlic in a broth seasoned with red chili pepper powder or red chili pepper paste."
Ã¤¼Ò·ù,¾¦,Mugwort ,
Ã¤¼Ò·ù,¾¦°«,Crown Daisy ,"A herbal leaf vegetable with a relatively strong scent which is used by itself, cooked and seasoned as a side dish, or added to fish soups and other stews. lt is also often used for rice wraps."
¶±,¾¦°æ´Ü,Sweet Rice Balls with Mugwort,"Small rice cake balls made of glutinous rice flour and mugwort, a green vegetable with a distinctive aroma. These rice cakes are rolled in ground red beans."
"±¹,ÅÁ",¾¦±¹,Mugwort Soup ,A soup made of mugwort in a beef or dried anchovy broth with soybean paste (doenjang). The mugwort is often tossed in some soybean flour to bring out its flavor before it is added to the soup.
¸é,¾¦±¹¼ö,Mugwort Noodles ,Noodles made of wheat flour and ground mugwort to give them a distinctive flavor and green color.
¶±,¾¦¶±,Mugwort Rice Cake ,"Dark green rice cakes made of rice flour and mugwort. Mugwort can also be added to buckwheat, barley or sweet potato starch to make similar cakes."
Ã¤¼Ò·ù,¾¸¹Ù±Í,Wild Lettuce ,"A wild leafy green with edible roots and long, thin leaves that are slightly bitter. This is most commonly harvested from the mountains in the spring."
³ª¹°/»ıÃ¤,¾¸¹Ù±Í³ª¹°(»ıÃ¤),Wild Lettuce Namul ,"A side dish made of wild lettuce which has been first soaked in salt water to remove its bitterness, then is seasoned with soy sauce, red chili pepper paste, roasted sesame seeds, green anions and garlic."
¾î·ù,¾Æ±Í/¾Æ±¸,Angler Fish(Monkfish) ,
Âò,¾Æ±ÍÂò/¾Æ±¸Âò,Spicy Angler Fish with Soybean Sprouts,"Angler fish simmered with soybean sprouts, minari (Korean parsley), and a seasoning of green onion, chili peppers, soy sauce, garlic and sugar."
"±¹,ÅÁ",¾Æ±ÍÅÁ/¾Æ±¸ÅÁ,Angler Fish Stew ,A stew of angler fish in a soybean paste (doenjang) broth with dried anchovies.
"±¹,ÅÁ",¾Æ¿í±¹,Mallow Soup with Soybean Paste ,"A soup of mallow (a thick, dark leafy green that has to be cleaned thoroughly to soften it before cooking) in a soybean paste (doenjang) broth. Sometimes the soup is thickened with red chili pepper paste or flavored with dried shrimps."
Áõ·ùÁÖ,¾Èµ¿¼ÒÁÖ,Andong Soju ,A rice liquor that is distilled several times in the distiller used to make soju. The unique method of making this liquor originated in the city of Andong.
Âò,¾Èµ¿Âò´ß,Andong Braised Chicken,"Originally from the Andong region, this dish consists of chicken, chili peppers, potatoes, clear noodles, leeks and carrots braised in a spicy sauce of garlic, sweet syrup and soy sauce."
¸¶¸¥Âù,¾ÈÁÖ,Dishes for Drinks,"ln Korea, ail alcoholic drinks are served with dry snacks or side dishes. The dry snacks include dried fish or meat similar to beef jerky, nuts, and dried fruits. The most common side dishes are pancakes (usually with green onions or seafood in them), other pan-fried delicacies, and different kinds of soup dishes."
"±¹,ÅÁ",¾ËÅÁ,Spicy Fish Roe Stew ,"A stew with pollack, cod or sea bream roe, spiced with red chili pepper powder, garlic, ginger and green onions. Altang can also refer to a pickled spicy pollack roe stew."
Âò,¾ÖÀúÂò,Stuffed Piglet ,"A two-month old piglet stuffed with sticky rice, chestnuts, jujubes (Korean dates), garlic, green onions, ginger, and walnuts and simmered for a long time."
ÇÑ°ú,¾à°ú,Deep-fried Honey Cookies,"Deep-fried cookies made from a dough of wheat flour, sesame oil, soju, and honey. The cookies are pressed in a wood mold into round or flower shapes, then deep-fried and dipped in honey."
¶±,¾à¹ä / ¾à½Ä,Sweet Rice with Nuts and Jujubes,"Steamed sticky rice made with chestnuts, jujubes (Korean dates), honey, pine nuts and cinnamon. This dish is a sweet snack similar to rice cake."
Ã»ÁÖ,¾àÁÖ,Clear Rice Wine (1) ,"A rice wine made from steamed rice that has gone through several fermentation stages. lngredients in traditional medicine are also added, giving this liquor its literal name of ""medicinal wine"" (yak means medicine)."
"±¹,ÅÁ",¾ç°õÅÁ,Beef Tripe Soup ,"A soup made of beef tripe simmered for a long period with ginger, garlic, green onions and other ingredients. This soup is said to be an aphrodisiac."
±¸ÀÌ,¾ç°öÃ¢±¸ÀÌ,Grilled Beef Tripe and Intestines ,Beef tripe and intestines mixed in a spicy sauce and grilled. The black outside layer of the tripe is discarded and only the white inside is used. Sometimes the tripe is grilled plain and served with a sauce for dipping.
¾ç³ä,¾ç³ä°£Àå,Seasoned Soy Sauce ,"A variation of soy sauce for the table or cooking. This mixture is made by adding green onions, garlic, sesame seeds, sesame oil, and black pepper or red chili pepper powder to soy sauce."
Á£°¥,¾ç³ä°ÔÀå,Spicy Seasoned Crab ,Crabs marinated in a spicy sauce with a large amount of red chili pepper powder.
ÆíÀ°,¾ç¹«Ä§,Beef Tripe with Spicy Sauce ,"Cooked beef tripe mixed with a spicy mixture of soy sauce, red chili pepper powder, green onions, garlic, sugar, sesame oil and sesame salt."
¹ö¼¸·ù,¾ç¼ÛÀÌ,Button Mushroom ,
"±¹,ÅÁ",¾çÁóÅÁ,Chopped Beef Tripe Soup ,A soup made from finely chopped beef tripe that is simmered for a long time to produce a milky broth. This soup is very nutritious and is often prepared for the sick and elderly.
"±¹,ÅÁ",¾î±ÛÅÁ,Pollack and Beef Soup,"A soup with patties made of minced beef, dubu (soybean curd "
Á£°¥,¾î¸®±¼Á£,Pickled Oyster ,"Fresh oysters pickled in salt, red chili pepper powder, and crushed garlic."
¸¸µÎ,¾î¸¸µÎ,Fish Fillet Dumplings,"Thin fish fillets folded like dumplings, stuffed with minced and seasoned beef, and steamed."
¸é,¾îº¹Àï¹İ,Boiled Meat Platter ,Slices of cooked beef and some beef broth served in a shallow brass dish. Noodles can also be added. This dish is a traditional specialty of the Pyeongan-do region in North Korea.
¼±,¾î¼±,"Steamed Fish Fillet, Beef and Vegetable Mix","Thin fish fillets stuffed with beef, shiitake mushrooms, cucumbers and carrots, then coated in starch and steamed."
Ã¤¼Ò·ù,¿¬±Ù,Lotus Roots ,"Lotus roots are pan-fried, made into porridge, and also dipped in honey to make sweets."
"Àü,Àû,Æ¢±è",¿¬±ÙÀü,Pan-fried Lotus Roots ,"Lotus roots sliced into flat, round pieces, coated in a flour and egg batter, and pan-fried."
ÇÑ°ú,¿¬±ÙÁ¤°ú,Candied Lotus Roots ,"Round slices of lotus root, simmered in sugar water until candied."
Á¶¸²,¿¬±ÙÁ¶¸²,Glazed Lotus Roots ,"Round slices of lotus root simmered in soy sauce, sugar and rice wine until glazed. Garnished with sesame seeds."
¾î·ù,¿¬¾î,Salmon ,
Ã¤¼Ò·ù,¿­¹«,Young Summer Radish,
±èÄ¡,¿­¹«±èÄ¡,Young Summer Radish Kimchi,A kimchi made of young summer radish (smaller roots with larger leaves). This kimchi has a lot of water and is lightly seasoned.
¸é,¿­¹«³Ã¸é,Chilled Buckwheat Noodles with Radish Kimchi,Buckwheat noodles served in a chilled broth with chopped radish kimchi.
±¸ÀÌ,¿°Åë±¸ÀÌ,Grilled Ox Heart ,Thin slices of ox heart seasoned with salt and spices and grilled.
ÇÑ°ú,¿³,Malt Candy,"A sweet, sticky candy made of hardened maltose syrup and sweet glutinous rice. This candy has the texture of toffee."
ÇÑ°ú,¿³°­Á¤,Malt Toffee ,"Traditional sweet treats made of nuts or cereals, such as peas, beans, pine nuts, peanuts and sesame seeds, mixed with warm maltose syrup and left to harden."
"±¹,ÅÁ",¿µ°è¹é¼÷,Young Chicken and Ginseng Soup,"A soup made of a whole young chicken stuffed with ginseng, sweet rice, jujubes (Korean dates) and other ingredients. The stuffed chicken is simmered until tender."
¹ä,¿À°î¹ä,Five Grain Rice ,"A mixed rice with corn, red beans, beans, white rice, glutinous rice, and glutinous millet. Traditionally, this is the rice served on the first full moon of the lunar calendar."
"±¹,ÅÁ",¿À°ñ°èÅÁ,Stuffed Ogol Chicken Soup,"A soup made of a whole ogol chicken (a chicken with dark meat and bones) stuffed with garlic, glutinous rice, jujubes (Korean dates), chestnuts, and other ingredients and simmered until tender. This soup is considered a delicacy due ta its health effects."
À°·ù,¿À¸®,Duck ,
±¸ÀÌ,¿À¸®±¸ÀÌ,Roast Duck ,A duck stuffed with ginger and green onions and hung by its tail to be roasted.
"±¹,ÅÁ",¿À¸®ÅÁ,Duck Stew ,"A stew of duck slowly simmered with onions, garlic, radishes, and other vegetables."
°úÀÏ·ù,¿À¹ÌÀÚ,Omija ,"The fruit of the Chinese magnolia vine, used in teas, wine, punches, and as a medicine. Omija literally means ""five tastes"" and is said to be ail the flavors: sweet, salty, bitter, sour, and spicy."
À½Ã»·ù,¿À¹ÌÀÚÂ÷,Omija Tea ,A tea made of omija (the fruit of the Chinese magnolia vine). Served hot or cold with honey and garnished with pine nuts.
À½Ã»·ù,¿À¹ÌÀÚÈ­Ã¤,Omija Punch ,"A fruit punch made of omija (fruit of the Chinese magnolia vine), sugar and various fruits. Azalea petals can also be added."
ÆĞ·ù,¿ÀºĞÀÚ±â,Small Abalone ,A shellfish similar to a small abalone. lt is often pickled in salt or put in stews and porridges.
Á£°¥,¿ÀºĞÀÚ±âÁ£,Pickled Small Abalone ,Small abalones pickled in salt. A regional specialty of Jeju-do.
Âò,¿ÀºĞÀÚ±âÂò,Braised Small Abalone ,Small abalones seasoned in spices and braised.
Ã¤¼Ò·ù,¿ÀÀÌ,Cucumber(s) ,
"±¹,ÅÁ",¿ÀÀÌ³Ã±¹,Chilled Cucumber Soup,"Julienned cucumbers, seasoned and salted, then added to a chilled vinegary soup."
»ıÃ¤,¿ÀÀÌ¹«Ä§,Seasoned Cucumbers,"Sliced cucumbers lightly salted and mixed with julienned white radish, red chili pepper powder, green onions, garlic and ginger. Also called oi-saengchae."
ººÀ½,¿ÀÀÌººÀ½,Sauteed Cucumbers ,"Sliced cucumbers lightly salted and squeezed by hand to remove excess liquid, then sauteed with minced pork and seasonings."
¼±,¿ÀÀÌ¼±,Stuffed Cucumbers,"Cucumbers cut into three or four sections, slit lengthwise and lightly salted. After lightly sauteeing the cucumbers, each section is stuffed with beef, egg, sliced mushrooms and others ingredients. A mixture of water, sugar and vinegar is poured over the stuffed cucumbers to give a sweet, vinegary flavor."
±èÄ¡,¿ÀÀÌ¼Ò¹ÚÀÌ(±èÄ¡),Stuffed Cucumber Kimchi ,"A kimchi made of cucumbers cut into three to four sections, slit lengthwise, and stuffed with a filling of green onions, garlic, ginger and red chili pepper powder."
Àå¾ÆÂî,¿ÀÀÌÀå¾ÆÂî,Cucumbers Pickled in Soy Sauce or Red Chili Pepper Paste,"Salted cucumbers pickled in a mixture of vinegar, soy sauce and sugar, or put into a jar of red chili pepper paste or soybean paste (doenjang). Keeps for a long period and is served as a side dish."
Àå¾ÆÂî,¿ÀÀÌÁö,Cucumbers Pickled in Salt Water ,Cucumbers pickled by pouring hot salt water over them and letting them sit for a long time.
¿¬Ã¼·ù,¿ÀÂ¡¾î,Squid ,Squid are eaten fresh or dried in the open air.
±¸ÀÌ,¿ÀÂ¡¾î±¸ÀÌ,Grilled Squid ,"Fresh squid coated with red chili pepper paste and soybean paste (doenjang) and grilled. When cooked with red chili pepper paste, this dish is called squid bulgogi."
¹ä,¿ÀÂ¡¾îµ¤¹ä,Squid over Rice ,Squid and vegetables stir-fried in a red chili pepper sauce and served on rice.
È¸,¿ÀÂ¡¾î¹«Ä§,Seasoned Squid ,Blanched squid slices and vegetables mixed with a red chili pepper sauce.
È¸,¿ÀÂ¡¾î¼÷È¸ / ¿ÀÂ¡¾îµ¥Ä§,Parboiled Squid ,Parboiled squid slices served with vinegared red chili pepper paste sauce.
¼ø´ë,¿ÀÂ¡¾î¼ø´ë,Stuffed Squid ,A cleaned squid stuffed with a mixture of dubu (soybean curd 
Á£°¥,¿ÀÂ¡¾îÁ£,Pickled Squid ,Slices of fresh squid pickled in salt with red chili pepper powder.
¸¶¸¥Âù,¿ÀÂ¡¾îÃ¤¹«Ä§,Seasoned Dried Squid Strips ,Thin strips of dried squid mixed in a spicy red chili pepper sauce or seasoned soy sauce.
¸¶¸¥Âù,¿ÀÂ¡¾îÃ¤ººÀ½,Sauteed Dried Squid Strips ,Thin strips of dried squid sauteed with soy sauce or red chili pepper paste.
È¸,¿ÀÂ¡¾îÈ¸,Raw Squid ,"Fresh squid sliced and served raw with a dipping sauce of vinegared red chili pepper paste.	"
¾î·ù,¿Áµ¼,Tilefish ,"Tilefish has a fresh and slightly sweet, buttery flavor."
